Blade section properties
21        n_secs:     number of blade sections at which properties are specified (-)

sec_loc  str_tw  tw_iner  mass_den flp_iner  edge_iner  flp_stff    edge_stff     tor_stff    axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)    (deg)   (kg/m)    (kg-m)    (kg-m)     (Nm^2)      (Nm^2)        (Nm^2)        (N)         (m)       (m)     (m)
0.00000  11.100   11.100 1447.607  646.044   646.044  7681.46E+06  7681.46E+06  2655.23E+06  17152.7E+06    0.000     0.000    0.0
0.02105  11.100   11.100  180.333   80.480    80.480  1169.87E+06  1169.87E+06   408.80E+06   2640.8E+06    0.000     0.000    0.0
0.05263  11.100   11.100  181.672   68.241    80.113  1020.62E+06  1092.28E+06   343.81E+06   2611.3E+06    0.032    -0.005    0.0
0.10526  11.100   11.100  183.905   47.842    79.502   771.88E+06   962.97E+06   235.50E+06   2562.1E+06    0.086    -0.014    0.0
0.15789  11.100   11.100  186.138   27.444    78.892   523.14E+06   833.66E+06   127.19E+06   2512.9E+06    0.140    -0.023    0.0
0.21053  11.100   11.100  188.370    7.045    78.281   274.40E+06   704.35E+06    18.87E+06   2463.6E+06    0.194    -0.032    0.0
0.26316   9.500    9.500  178.321    5.963    68.302   234.57E+06   614.65E+06    16.80E+06   2332.8E+06    0.188    -0.020    0.0
0.31579   7.900    7.900  168.271    4.881    58.323   194.74E+06   524.96E+06    14.72E+06   2202.0E+06    0.182    -0.007    0.0
0.36842   6.300    6.300  158.222    3.799    48.344   154.90E+06   435.26E+06    12.64E+06   2071.2E+06    0.176     0.005    0.0
0.42105   4.700    4.700  148.172    2.717    38.366   115.07E+06   345.57E+06    10.56E+06   1940.4E+06    0.170     0.018    0.0
0.47368   3.100    3.100  138.123    1.635    28.387    75.23E+06   255.87E+06     8.48E+06   1809.6E+06    0.164     0.030    0.0
0.52632   2.600    2.600  122.896    1.367    24.050    62.49E+06   217.87E+06     7.12E+06   1605.3E+06    0.168     0.038    0.0
0.57895   2.100    2.100  107.669    1.099    19.714    49.75E+06   179.86E+06     5.76E+06   1401.1E+06    0.172     0.047    0.0
0.63158   1.600    1.600   92.442    0.831    15.377    37.01E+06   141.86E+06     4.40E+06   1196.8E+06    0.176     0.055    0.0
0.68421   1.100    1.100   77.215    0.564    11.041    24.27E+06   103.85E+06     3.04E+06    992.6E+06    0.179     0.063    0.0
0.73684   0.600    0.600   61.988    0.296     6.704    11.53E+06    65.85E+06     1.68E+06    788.3E+06    0.183     0.071    0.0
0.78947   0.480    0.480   51.861    0.240     5.513     9.27E+06    54.25E+06     1.38E+06    654.3E+06    0.190     0.077    0.0
0.84211   0.360    0.360   41.734    0.185     4.322     7.01E+06    42.66E+06     1.08E+06    520.4E+06    0.198     0.082    0.0
0.89474   0.240    0.240   31.607    0.130     3.130     4.75E+06    31.06E+06     0.78E+06    386.4E+06    0.205     0.087    0.0
0.94737   0.120    0.120   21.480    0.074     1.939     2.49E+06    19.47E+06     0.48E+06    252.4E+06    0.212     0.092    0.0
1.00000   0.000    0.000   11.353    0.019     0.747     0.23E+06     7.87E+06     0.18E+06    118.5E+06    0.220     0.098    0.0


**Note: If the above data represents TOWER properties, the following are overwritten:
  str_tw is set to zero
  tw_iner is set to zero
  cg_offst is set to zero
  sc_offst is set to zero
  tc_offst is set to zero
  edge_iner is set equal to flp_iner
  edge_stff is set equal to flp_stff
